name	layer	type	assoc_score	prior_score	path_score	total_score
ALB	transcriptomic	gene	0.9467834287638935	0.741668320809112	1.0	0.8494160711256781
APOA2	transcriptomic	gene	0.9750757830919502	0.14389669778611572	1.0	0.5285028866273267
APOC1	transcriptomic	gene	0.9770966655439542	0.05929137426025968	1.0	0.48272196151358787
UBC	transcriptomic	gene	0.9962950488379926	0.004292851554495939	1.0	0.4562133824548146
ACADS	transcriptomic	gene	0.9973054900639946	0.0016904312164563134	1.0	0.45497759703879337
PPP2R1B	transcriptomic	gene	0.9996631862579993	0.0008654177233392455	1.0	0.4549562617141849
ECI1	transcriptomic	gene	0.9976423038059953	0.0009750880250760498	1.0	0.454648648705677
PPARGC1A	transcriptomic	gene	1.0	0.00016291883543019444	1.0	0.4546343193647801
FUOM	transcriptomic	gene	0.9969686763219939	0.001114869681117864	1.0	0.45460241552097225
HMGCR	transcriptomic	gene	0.998989558773998	0.0003221338032189742	1.0	0.45453744730611906
ABCA5	transcriptomic	gene	0.9993263725159987	0.000146452328888763	1.0	0.4545028599095754
LDLR	transcriptomic	gene	0.9983159312899966	0.0002978468085089816	1.0	0.4544017221300952
MID1IP1	transcriptomic	gene	0.997979117547996	0.0002778988761524859	1.0	0.45432960257753696
ABCG1	transcriptomic	gene	0.9986527450319973	2.5618358006507175e-05	1.0	0.45431447274654846
UAP1	transcriptomic	gene	0.9956214213539912	0.0005688071935347678	1.0	0.45405960780629007
RORA	transcriptomic	gene	0.9966318625799933	0.00012170417583503132	1.0	0.4539994500195451
PMVK	transcriptomic	gene	0.9949477938699899	0.0006479229130306311	1.0	0.4539802841107421
GAL3ST1	transcriptomic	gene	0.9959582350959919	1.6541344143442147e-05	1.0	0.4538196107506222
IDI1	transcriptomic	gene	0.9932637251599865	0.0007420946543346774	1.0	0.4537254562041801
ABCA10	transcriptomic	gene	0.9952846076119906	2.353366662445642e-05	1.0	0.4537009470203389
HMGCS2	transcriptomic	gene	0.9629504883799259	0.010752449088952048	1.0	0.45367415193577854
AMDHD2	transcriptomic	gene	0.9946109801279892	9.776383038641189e-05	1.0	0.4536189584762088
NR1D1	transcriptomic	gene	0.9939373526439879	0.00024578186757956064	1.0	0.45357721786304117
CGA	transcriptomic	gene	0.9942741663859885	5.5258852262925596e-06	1.0	0.45350740800757583
MED11	transcriptomic	gene	0.9936005389019872	0.00020041701279521212	1.0	0.4534912345346132
PIK3R1	transcriptomic	gene	0.9919164701919838	0.0004060062813324247	1.0	0.45329717982472384
PIK3C2G	transcriptomic	gene	0.9929269114179858	5.8849421153801075e-05	1.0	0.45329153812389944
PNPLA8	transcriptomic	gene	0.9925900976759852	0.00014042473378596965	1.0	0.4532747948867896
PMM1	transcriptomic	gene	0.9915796564499831	0.0004607772121672948	1.0	0.4532658160157246
ABCA9	transcriptomic	gene	0.9922532839339845	8.253645219141362e-05	1.0	0.4531819805982834
ACOT2	transcriptomic	gene	0.9902324014819804	0.0004676160460882465	1.0	0.45302459084004454
RENBP	transcriptomic	gene	0.9912428427079825	2.8794915829338197e-05	1.0	0.45296895044644914
PNPLA3	transcriptomic	gene	0.9905692152239811	0.00020787367989139472	1.0	0.4529441520479373
ENPP7	transcriptomic	gene	0.9909060289659818	5.202752781760254e-05	1.0	0.452920383918079
HSD17B14	transcriptomic	gene	0.9892219602559784	0.00037237605330451743	1.0	0.4527889251665258
ITPR1	transcriptomic	gene	0.9898955877399798	1.7848956953579088e-05	1.0	0.4527180244746982
PCYT2	transcriptomic	gene	0.986527450319973	0.0008184980535435322	1.0	0.45254235354192796
LPCAT4	transcriptomic	gene	0.9888851465139777	2.1046467484433307e-05	1.0	0.4525360519848056
CHD9	transcriptomic	gene	0.9885483327719771	4.012710375894259e-05	1.0	0.4524852207424098
INPP5D	transcriptomic	gene	0.9878747052879757	3.631102355190895e-05	1.0	0.4523606615197512
SLC22A5	transcriptomic	gene	0.987537891545975	7.5182399022254e-05	1.0	0.4523206252260076
SCD	transcriptomic	gene	0.9801279892219602	0.0024286679028963643	1.0	0.45225708962375444
PLA2R1	transcriptomic	gene	0.9872010778039744	5.79108388166676e-06	1.0	0.4522215365555672
ACOT11	transcriptomic	gene	0.9868642640619737	2.78241423278804e-06	1.0	0.4521586566008494
GPCPD1	transcriptomic	gene	0.9861906365779723	6.851982737915881e-05	1.0	0.4520720356472927
OSBPL3	transcriptomic	gene	0.9858538228359717	7.24728594460393e-06	1.0	0.4519773753988737
HSD17B1	transcriptomic	gene	0.9848433816099696	9.180500283714934e-06	1.0	0.4517947132928765
B4GALT5	transcriptomic	gene	0.9841697541259683	0.000156903803052557	1.0	0.45175281191547745
